DATA LEVEL,PUBLIC OR INDEPENDENT,DISTRICT NUMBER,Educators CATEGORY,GENDER,SCHOOL YEAR,Educators CNT,FULLTIME Educators CNT,PARTIME Educators CNT,TOTAL FTE,BASE SALARY,TOTAL SALARY,AVERAGE EXPERIENCE,AVERAGE AGE,CERT STANDARD,CERT PROFESSIONAL,CERT CERTIFICATE BASIC,CERT LETTER PERMISSION,EXPERIENCE LESS THAN YR,EXPERIENCE 1 TO 4 YR,EXPERIENCE 5 TO 9 YR,EXPERIENCE 10 TO 19 YR,EXPERIENCE 20 OR MORE YR,AGE GRP 20 TO 24 CNT,AGE GRP 25 TO 29 CNT,AGE GRP 30 TO 34 CNT,AGE GRP 35 TO 39 CNT,AGE GRP 40 TO 44 CNT,AGE GRP 45 TO 49 CNT,AGE GRP 50 TO 54 CNT,AGE GRP 55 TO 59 CNT,AGE GRP 60 TO 64 CNT,AGE GRP 65 AND OVER CNT
DISTRICT LEVEL,BC Public School,39,Administrators,Male,2006/2007,85,85,0,85,95761,95761,21,48.9,3,81,0,1,0,2,4,35,44,0,0,2,10,16,15,18,22,2,0
DISTRICT LEVEL,BC Public School,39,Administrators,Male,2007/2008,86,86,0,86,98815,98815,21.8,49.5,3,82,0,1,0,2,2,37,45,0,0,0,8,14,23,13,24,4,0
DISTRICT LEVEL,BC Public School,39,Administrators,Male,2008/2009,87,86,1,86.2,108588,108588,20.6,48.7,3,83,0,1,0,1,6,35,45,0,0,2,7,16,20,16,23,3,0
DISTRICT LEVEL,BC Public School,39,Administrators,Male,2009/2010,83,82,1,82.7,103441,103441,20.3,48.6,3,79,0,1,0,0,4,36,43,0,0,1,7,16,23,16,17,3,0
DISTRICT LEVEL,BC Public School,39,Administrators,Male,2010/2011,80,80,0,80,105672,105672,20.6,48.9,4,75,0,1,0,1,2,30,47,0,0,2,4,15,24,15,16,4,0
DISTRICT LEVEL,BC Public School,39,Administrators,Male,2011/2012,81,81,0,81,107323,107323,21.4,49.8,4,76,0,1,1,0,2,27,51,1,0,0,4,17,20,18,14,7,0
DISTRICT LEVEL,BC Public School,39,Administrators,Male,2012/2013,81,81,0,81,107182,107182,21,50.4,4,77,0,0,1,0,4,27,49,0,0,1,4,11,19,25,11,7,3
DISTRICT LEVEL,BC Public School,39,Administrators,Male,2013/2014,83,83,0,83,107438,107438,19.9,49.3,4,79,0,0,0,2,6,30,45,0,0,2,6,13,17,24,13,6,2
DISTRICT LEVEL,BC Public School,39,Administrators,Male,2014/2015,71,71,0,71,106233,106233,,49.2,,,,,,,,,,0,0,3,5,14,10,20,11,8,0
DISTRICT LEVEL,BC Public School,39,Administrators,Male,2015/2016,72,72,0,72,107891,107891,,50,,,,,,,,,,0,0,3,4,10,14,23,10,8,0
DISTRICT LEVEL,BC Public School,39,Administrators,Male,2016/2017,69,69,,69,111459,111459,,49.8,,,,,,,,,,,,3,7,8,11,19,16,5,
DISTRICT LEVEL,BC Public School,39,Educators,Male,1991/1992,1224,1185,39,1207.8,48929,51102,16.5,44.9,30,1184,3,2,29,186,90,423,496,5,74,96,122,278,268,211,119,50,1
DISTRICT LEVEL,BC Public School,39,Educators,Male,1992/1993,1203,1142,61,1173.8,54194,56567,16.8,45.2,35,1155,3,2,24,191,98,385,505,5,62,103,107,247,274,241,116,46,2
DISTRICT LEVEL,BC Public School,39,Educators,Male,1993/1994,1163,1109,54,1134.8,55749,58116,17.5,46,28,1124,3,1,17,151,131,339,525,1,45,90,110,215,283,242,130,44,3
DISTRICT LEVEL,BC Public School,39,Educators,Male,1994/1995,1186,1117,69,1153.5,56591,58730,17,45.8,33,1143,3,1,34,136,175,294,547,1,50,111,112,189,290,249,136,47,1
DISTRICT LEVEL,BC Public School,39,Educators,Male,1995/1996,1194,1117,77,1155.1,57843,58280,16.2,45.2,32,1150,5,1,38,153,209,253,541,3,55,127,130,168,294,250,140,26,1
DISTRICT LEVEL,BC Public School,39,Educators,Male,1996/1997,1219,1141,78,1181.8,57993,58418,15.8,45.1,33,1174,5,1,42,183,220,234,540,7,73,132,130,153,281,261,154,25,3
DISTRICT LEVEL,BC Public School,39,Educators,Male,1997/1998,1196,1113,83,1165,58523,58846,16.2,45.5,36,1143,5,8,12,199,228,216,541,1,55,139,142,130,258,275,166,28,2
DISTRICT LEVEL,BC Public School,39,Educators,Male,1998/1999,1197,1100,97,1159.8,58639,59015,15.5,45.1,32,1151,4,6,30,198,241,238,490,4,62,146,149,135,235,285,154,26,1
DISTRICT LEVEL,BC Public School,39,Educators,Male,1999/2000,1176,1078,98,1141.9,58727,59130,15.4,45.1,30,1133,3,6,15,196,225,281,459,3,59,143,161,132,200,300,153,24,1
DISTRICT LEVEL,BC Public School,39,Educators,Male,2000/2001,1191,1084,107,1152.2,59731,60148,15.1,45,34,1149,2,6,22,199,230,287,453,5,59,135,182,148,176,301,156,29,0
DISTRICT LEVEL,BC Public School,39,Educators,Male,2001/2002,1172,1067,105,1135.3,59932,60359,15,45.1,35,1127,3,7,17,182,243,296,434,7,63,132,176,156,155,278,163,42,0
DISTRICT LEVEL,BC Public School,39,Educators,Male,2002/2003,1089,979,110,1051,63945,64379,15.3,45.5,35,1047,2,5,4,154,235,310,386,4,52,110,157,170,136,249,177,34,0
DISTRICT LEVEL,BC Public School,39,Educators,Male,2003/2004,1090,971,119,1048.3,65344,65776,15,45.6,41,1041,2,6,18,138,248,333,353,2,50,105,157,176,150,226,188,36,0
DISTRICT LEVEL,BC Public School,39,Educators,Male,2004/2005,1057,938,119,1018.4,65994,66433,15.1,45.8,35,1014,2,6,4,131,229,366,327,0,39,104,148,189,144,199,199,35,0
DISTRICT LEVEL,BC Public School,39,Educators,Male,2005/2006,1060,960,100,1030.7,65425,65852,14.6,45.4,34,1018,2,6,14,149,219,378,300,0,54,104,147,192,154,175,203,31,0
DISTRICT LEVEL,BC Public School,39,Educators,Male,2006/2007,1058,950,108,1023,67264,67714,14.4,45.3,35,1017,2,4,10,143,219,414,272,1,56,106,152,187,166,156,192,40,2
DISTRICT LEVEL,BC Public School,39,Educators,Male,2007/2008,1030,904,126,986.4,69218,69630,14.3,45.3,36,986,2,6,10,144,210,417,249,2,53,109,144,182,172,137,181,47,3
DISTRICT LEVEL,BC Public School,39,Educators,Male,2008/2009,1020,884,136,967.9,72589,73019,13.8,45.1,37,976,2,5,19,153,192,424,232,2,58,112,137,180,169,146,159,50,7
DISTRICT LEVEL,BC Public School,39,Educators,Male,2009/2010,1034,909,125,992.2,73408,73852,13.9,45.2,42,985,2,5,16,167,179,412,260,2,52,118,136,175,185,146,148,64,8
DISTRICT LEVEL,BC Public School,39,Educators,Male,2010/2011,1009,878,131,965,75669,76120,14.1,45.4,39,964,2,4,5,143,196,405,260,3,39,115,130,168,194,159,129,64,8
DISTRICT LEVEL,BC Public School,39,Educators,Male,2011/2012,997,883,114,957.1,75942,76391,14.3,45.7,65,924,2,6,31,109,183,408,266,2,35,112,131,171,186,166,119,65,10
DISTRICT LEVEL,BC Public School,39,Educators,Male,2012/2013,983,843,140,933.4,76466,76917,14.5,46.1,60,911,6,6,12,114,175,414,268,0,30,102,145,155,185,173,107,68,18
DISTRICT LEVEL,BC Public School,39,Educators,Male,2013/2014,967,855,112,927.5,76950,77394,14.7,46.3,66,888,7,6,10,113,174,394,276,0,24,99,140,152,177,168,121,68,18
DISTRICT LEVEL,BC Public School,39,Educators,Male,2014/2015,901,821,80,872.7,77626,77992,,46.2,,,,,,,,,,0,18,95,134,146,162,160,111,56,19
DISTRICT LEVEL,BC Public School,39,Educators,Male,2015/2016,898,807,91,866.3,78750,79288,,46.4,,,,,,,,,,2,18,90,127,133,170,167,118,54,19
DISTRICT LEVEL,BC Public School,39,Educators,Male,2016/2017,879,788,91,844.5,80131,80668,,46.5,,,,,,,,,,2,19,86,121,136,170,163,115,49,18
DISTRICT LEVEL,BC Public School,39,Teachers,Male,1991/1992,1102,1063,39,1085.8,48206,48640,15.7,44.4,30,1063,2,2,29,186,89,387,411,5,74,96,120,256,229,176,97,48,1
DISTRICT LEVEL,BC Public School,39,Teachers,Male,1992/1993,1088,1027,61,1058.8,53504,54003,16,44.7,35,1041,2,2,24,191,97,354,422,5,62,103,104,229,240,203,96,44,2
DISTRICT LEVEL,BC Public School,39,Teachers,Male,1993/1994,1061,1007,54,1032.8,55276,55907,16.8,45.5,28,1023,2,1,17,151,130,317,446,1,45,89,110,203,252,208,108,42,3
DISTRICT LEVEL,BC Public School,39,Teachers,Male,1994/1995,1085,1016,69,1052.5,55977,56454,16.3,45.4,33,1043,2,1,34,136,173,276,466,1,50,110,110,176,262,217,114,44,1
DISTRICT LEVEL,BC Public School,39,Teachers,Male,1995/1996,1096,1019,77,1057.1,55478,55942,15.6,44.8,31,1054,4,1,38,152,206,235,465,3,55,126,126,157,265,217,121,25,1
DISTRICT LEVEL,BC Public School,39,Teachers,Male,1996/1997,1123,1045,78,1085.8,55726,56176,15.2,44.6,32,1080,4,1,42,182,216,218,465,7,73,131,126,146,253,227,135,22,3
DISTRICT LEVEL,BC Public School,39,Teachers,Male,1997/1998,1101,1018,83,1070,56197,56549,15.5,45.1,34,1051,4,8,11,198,224,203,465,1,55,139,134,123,234,245,145,23,2
DISTRICT LEVEL,BC Public School,39,Teachers,Male,1998/1999,1106,1009,97,1068.8,56327,56736,14.8,44.6,31,1062,3,6,30,197,238,221,420,4,62,146,144,128,214,250,135,22,1
DISTRICT LEVEL,BC Public School,39,Teachers,Male,1999/2000,1088,990,98,1053.9,56425,56862,14.7,44.6,29,1046,3,6,15,195,222,264,392,3,59,142,155,127,177,268,135,22,0
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2000/2001,1104,997,107,1065.2,57450,57901,14.5,44.6,33,1063,2,6,22,198,226,266,392,5,59,132,175,141,160,268,137,27,0
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2001/2002,1085,980,105,1048.3,57607,58070,14.4,44.7,33,1042,3,7,17,181,240,272,375,7,63,129,168,148,144,243,144,39,0
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2002/2003,1006,896,110,968,61551,62022,14.7,45.1,33,966,2,5,4,154,229,288,331,4,52,109,149,156,125,220,159,32,0
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2003/2004,1006,887,119,964.3,63072,63542,14.4,45.2,37,961,2,6,17,138,245,307,299,2,50,104,152,162,139,198,166,33,0
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2004/2005,978,859,119,939.4,63560,64035,14.5,45.4,32,938,2,6,4,131,226,342,275,0,39,103,144,177,133,172,176,34,0
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2005/2006,981,881,100,951.7,63013,63476,14,45,31,942,2,6,14,148,217,348,254,0,54,103,142,178,141,150,183,30,0
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2006/2007,973,865,108,938,64681,65172,13.9,45,32,936,2,3,10,141,215,379,228,1,56,104,142,171,151,138,170,38,2
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2007/2008,944,818,126,900.4,66391,66843,13.6,44.9,33,904,2,5,10,142,208,380,204,2,53,109,136,168,149,124,157,43,3
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2008/2009,933,798,135,881.7,69070,69542,13.1,44.7,34,893,2,4,19,152,186,389,187,2,58,110,130,164,149,130,136,47,7
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2009/2010,951,827,124,909.5,70677,71161,13.3,45,39,906,2,4,16,167,175,376,217,2,52,117,129,159,162,130,131,61,8
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2010/2011,929,798,131,885,72957,73449,13.6,45.1,35,889,2,3,5,142,194,375,213,3,39,113,126,153,170,144,113,60,8
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2011/2012,916,802,114,876.1,73040,73531,13.6,45.3,61,848,2,5,30,109,181,381,215,1,35,112,127,154,166,148,105,58,10
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2012/2013,902,762,140,852.4,73547,74041,14,45.7,56,834,6,6,11,114,171,387,219,0,30,101,141,144,166,148,96,61,15
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2013/2014,884,772,112,844.5,73953,74441,14.3,46,62,809,7,6,10,111,168,364,231,0,24,97,134,139,160,144,108,62,16
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2014/2015,830,750,80,801.7,75179,75576,,45.9,,,,,,,,,,0,18,92,129,132,152,140,100,48,19
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2015/2016,826,735,91,794.3,76210,76795,,46.1,,,,,,,,,,2,18,87,123,123,156,144,108,46,19
DISTRICT LEVEL,BC Public School,39,Teachers,Male,2016/2017,810,719,91,775.5,77462,78045,,46.2,,,,,,,,,,2,19,83,114,128,159,144,99,44,18
DISTRICT LEVEL,BC Public School,40,Administrators,All,1991/1992,17,17,0,17,76034,76034,22.2,46.9,0,17,0,0,0,0,0,6,11,0,0,0,0,8,4,3,2,0,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,1992/1993,17,17,0,17,78864,78864,23.2,47.9,0,17,0,0,0,0,0,2,15,0,0,0,0,5,7,3,2,0,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,1993/1994,15,15,0,15,79418,79418,23.3,48,0,15,0,0,0,0,0,1,14,0,0,0,0,2,9,3,1,0,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,1994/1995,15,15,0,15,82500,82500,24.3,49,0,15,0,0,0,0,0,1,14,0,0,0,0,1,7,5,2,0,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,1995/1996,15,15,0,15,82500,82500,25.3,50,0,15,0,0,0,0,0,0,15,0,0,0,0,0,8,5,2,0,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,1996/1997,15,15,0,15,82500,82500,26.3,51,0,15,0,0,0,0,0,0,15,0,0,0,0,0,8,4,2,1,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,1997/1998,14,14,0,14,83463,83463,26.8,51.6,0,14,0,0,0,0,0,0,14,0,0,0,0,0,5,7,1,1,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,1998/1999,14,14,0,14,85124,85124,27.8,52.6,0,14,0,0,0,0,0,0,14,0,0,0,0,0,2,9,2,1,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,1999/2000,16,16,0,16,86252,86252,24.6,50.2,0,16,0,0,0,0,0,4,12,0,0,0,1,2,1,8,4,0,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2000/2001,21,21,0,21,84504,84504,21.9,50,0,20,0,1,0,3,0,4,14,0,0,0,2,2,3,9,5,0,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2001/2002,23,23,0,23,82815,82815,21.6,49.3,1,22,0,0,0,1,2,4,16,0,0,1,1,4,4,9,3,1,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2002/2003,21,21,0,21,88202,88202,23,51.3,1,20,0,0,0,1,1,3,16,0,0,0,1,0,6,10,3,1,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2003/2004,24,24,0,24,89717,89717,22.4,51.8,1,23,0,0,1,1,1,4,17,0,0,1,1,0,5,7,8,2,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2004/2005,24,24,0,24,92668,93387,24,52.1,2,22,0,0,0,1,2,4,17,0,0,0,2,1,4,5,9,3,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2005/2006,26,26,0,26,93854,94575,23.6,51.4,2,24,0,0,0,1,4,3,18,0,0,1,2,2,4,6,8,3,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2006/2007,26,26,0,26,96779,96779,19.6,48.2,2,24,0,0,0,1,5,8,12,0,0,3,3,2,5,6,6,1,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2007/2008,26,26,0,26,99086,99086,17.2,48.5,2,24,0,0,2,1,2,12,9,0,0,2,2,3,3,10,5,1,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2008/2009,25,25,0,25,100143,100143,17.4,47.7,2,23,0,0,0,2,2,12,9,0,0,2,3,4,2,8,5,1,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2009/2010,24,24,0,24,101716,101716,16.1,47.3,1,23,0,0,0,2,3,12,7,0,0,2,2,6,2,8,3,1,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2010/2011,24,23,1,23.8,106041,106041,16.1,48.3,1,23,0,0,0,2,4,12,6,0,0,1,2,5,5,7,3,1,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2011/2012,26,26,0,26,104980,104980,16,48.1,1,25,0,0,0,2,2,15,7,0,0,0,4,5,5,7,5,0,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2012/2013,27,27,0,27,104373,104373,17.4,49,2,25,0,0,0,0,4,13,10,0,0,0,2,4,8,5,7,1,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2013/2014,25,25,0,25,105243,105279,17.5,49.3,1,24,0,0,0,0,3,13,9,0,0,0,2,4,8,3,6,2,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2014/2015,24,24,0,24,105534,105534,,50.8,,,,,,,,,,0,0,0,1,3,6,7,6,1,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2015/2016,24,24,0,24,103493,103493,,50,,,,,,,,,,0,0,1,0,3,6,7,7,0,0
DISTRICT LEVEL,BC Public School,40,Administrators,All,2016/2017,29,29,,29,108426,108426,,48.9,,,,,,,,,,,,2,,5,9,7,4,2,
DISTRICT LEVEL,BC Public School,40,Educators,All,1991/1992,266,209,57,240.5,50001,50273,13.5,42.3,31,224,2,9,24,40,32,95,75,2,28,28,28,76,44,36,19,5,0
DISTRICT LEVEL,BC Public School,40,Educators,All,1992/1993,288,223,65,257.9,51416,51676,13.1,42.5,33,246,2,7,16,58,42,89,83,4,27,32,34,68,54,42,22,5,0
DISTRICT LEVEL,BC Public School,40,Educators,All,1993/1994,282,214,68,251.1,52746,53001,13.3,43,34,239,2,7,10,65,41,76,90,2,26,35,26,65,59,43,19,7,0
DISTRICT LEVEL,BC Public School,40,Educators,All,1994/1995,301,231,70,270.8,53276,53526,13,42.6,37,256,2,6,22,58,54,74,93,4,26,43,33,49,73,48,18,7,0
DISTRICT LEVEL,BC Public School,40,Educators,All,1995/1996,328,241,87,292.2,52635,52871,12.5,42.4,39,282,1,6,16,83,59,69,101,5,31,47,42,42,83,50,21,6,1
DISTRICT LEVEL,BC Public School,40,Educators,All,1996/1997,347,269,78,311.8,53399,53632,12.4,42.6,41,297,2,7,16,93,64,70,104,4,32,52,45,41,84,51,27,10,1
DISTRICT LEVEL,BC Public School,40,Educators,All,1997/1998,359,268,91,317.6,53418,53635,12.4,42.6,43,303,2,11,16,93,69,76,105,3,46,42,50,43,73,62,32,6,2
DISTRICT LEVEL,BC Public School,40,Educators,All,1998/1999,382,280,102,339.3,53409,53624,11.8,42,44,327,2,9,20,103,80,79,100,7,53,47,52,51,70,66,29,6,1
DISTRICT LEVEL,BC Public School,40,Educators,All,1999/2000,388,289,99,342.2,53940,54184,11.5,41.8,42,336,1,9,18,100,98,75,97,7,50,53,51,60,54,78,30,4,1
DISTRICT LEVEL,BC Public School,40,Educators,All,2000/2001,391,301,90,346,55279,55559,11.6,42.4,44,335,1,11,14,102,99,78,98,4,50,54,42,63,53,84,33,7,1
DISTRICT LEVEL,BC Public School,40,Educators,All,2001/2002,380,305,75,349.4,55214,55479,11.7,42.1,40,331,1,8,18,91,99,76,96,8,46,58,42,54,55,77,34,6,0
DISTRICT LEVEL,BC Public School,40,Educators,All,2002/2003,402,293,109,352.7,58378,58653,11.4,42,44,349,1,8,13,109,97,90,93,4,50,71,43,58,53,76,40,7,0
DISTRICT LEVEL,BC Public School,40,Educators,All,2003/2004,416,300,116,362.8,60721,60966,11.7,42.5,44,364,1,7,9,99,110,105,93,2,45,75,57,49,58,78,42,10,0
DISTRICT LEVEL,BC Public School,40,Educators,All,2004/2005,416,310,106,369.6,60624,61660,11.7,42.7,46,361,1,8,17,93,104,115,87,5,46,61,56,55,63,63,56,11,0
DISTRICT LEVEL,BC Public School,40,Educators,All,2005/2006,453,320,133,395.5,60680,61758,11.5,42.8,54,388,1,10,11,117,103,137,85,2,54,65,66,54,69,65,60,17,1
DISTRICT LEVEL,BC Public School,40,Educators,All,2006/2007,459,333,126,403.7,63909,64225,11.3,42.8,48,403,0,8,15,109,111,148,76,2,56,64,76,53,66,66,55,18,3
DISTRICT LEVEL,BC Public School,40,Educators,All,2007/2008,461,317,144,398.5,65582,65923,11,42.7,42,412,0,7,20,108,116,146,71,3,52,68,76,56,70,61,54,19,2
DISTRICT LEVEL,BC Public School,40,Educators,All,2008/2009,460,317,143,397.6,67259,67598,10.8,42.7,38,417,0,5,15,106,127,149,63,5,47,67,82,62,63,59,52,19,4
DISTRICT LEVEL,BC Public School,40,Educators,All,2009/2010,440,313,127,386.8,71254,71688,11.1,43.4,39,394,0,7,6,86,133,157,58,3,21,69,79,73,60,67,44,20,4
DISTRICT LEVEL,BC Public School,40,Educators,All,2010/2011,455,316,139,395.9,73025,73390,11.4,43.8,38,411,1,5,16,83,130,160,66,1,28,72,75,76,52,71,47,26,7
DISTRICT LEVEL,BC Public School,40,Educators,All,2011/2012,485,324,161,414.6,73177,73541,11.4,43.9,48,429,2,6,14,92,129,177,73,3,32,75,65,94,60,69,53,27,7
DISTRICT LEVEL,BC Public School,40,Educators,All,2012/2013,472,325,147,411.1,73585,73942,11.5,44.3,40,421,4,7,17,88,126,166,75,3,31,57,81,84,54,73,53,29,7
DISTRICT LEVEL,BC Public School,40,Educators,All,2013/2014,436,309,127,381.9,75007,75383,12.3,45.1,40,389,2,5,6,64,123,167,76,0,23,48,69,84,62,63,51,28,8
DISTRICT LEVEL,BC Public School,40,Educators,All,2014/2015,431,308,123,381.3,75854,75943,,45.6,,,,,,,,,,1,15,41,69,86,61,66,56,26,10
DISTRICT LEVEL,BC Public School,40,Educators,All,2015/2016,468,322,146,408.6,75557,75853,,45.4,,,,,,,,,,3,22,48,70,86,70,62,70,25,12
DISTRICT LEVEL,BC Public School,40,Educators,All,2016/2017,461,331,130,409.8,77606,77954,,45.8,,,,,,,,,,,26,42,63,82,85,59,61,29,14
DISTRICT LEVEL,BC Public School,40,Teachers,All,1991/1992,249,192,57,223.5,48021,48314,12.9,42,31,207,2,9,24,40,32,89,64,2,28,28,28,68,40,33,17,5,0
DISTRICT LEVEL,BC Public School,40,Teachers,All,1992/1993,271,206,65,240.9,49479,49757,12.5,42.1,33,229,2,7,16,58,42,87,68,4,27,32,34,63,47,39,20,5,0
DISTRICT LEVEL,BC Public School,40,Teachers,All,1993/1994,267,199,68,236.1,51052,51323,12.8,42.7,34,224,2,7,10,65,41,75,76,2,26,35,26,63,50,40,18,7,0
DISTRICT LEVEL,BC Public School,40,Teachers,All,1994/1995,286,216,70,255.8,51562,51827,12.4,42.2,37,241,2,6,22,58,54,73,79,4,26,43,33,48,66,43,16,7,0
DISTRICT LEVEL,BC Public School,40,Teachers,All,1995/1996,313,226,87,277.2,51019,51268,11.9,42,39,267,1,6,16,83,59,69,86,5,31,47,42,42,75,45,19,6,1
DISTRICT LEVEL,BC Public School,40,Teachers,All,1996/1997,332,254,78,296.8,51928,52173,11.8,42.2,41,282,2,7,16,93,64,70,89,4,32,52,45,41,76,47,25,9,1
DISTRICT LEVEL,BC Public School,40,Teachers,All,1997/1998,345,254,91,303.6,52033,52259,11.8,42.2,43,289,2,11,16,93,69,76,91,3,46,42,50,43,68,55,31,5,2
DISTRICT LEVEL,BC Public School,40,Teachers,All,1998/1999,368,266,102,325.3,52044,52269,11.2,41.6,44,313,2,9,20,103,80,79,86,7,53,47,52,51,68,57,27,5,1
DISTRICT LEVEL,BC Public School,40,Teachers,All,1999/2000,372,273,99,326.2,52355,52612,10.9,41.4,42,320,1,9,18,100,98,71,85,7,50,53,50,58,53,70,26,4,1
DISTRICT LEVEL,BC Public School,40,Teachers,All,2000/2001,370,280,90,325,53391,53689,11,42,44,315,1,10,14,99,99,74,84,4,50,54,40,61,50,75,28,7,1
DISTRICT LEVEL,BC Public School,40,Teachers,All,2001/2002,357,282,75,326.4,53269,53553,11.1,41.6,39,309,1,8,18,90,97,72,80,8,46,57,41,50,51,68,31,5,0
DISTRICT LEVEL,BC Public School,40,Teachers,All,2002/2003,381,272,109,331.7,56490,56782,10.8,41.5,43,329,1,8,13,108,96,87,77,4,50,71,42,58,47,66,37,6,0
DISTRICT LEVEL,BC Public School,40,Teachers,All,2003/2004,392,276,116,338.8,58667,58929,11,42,43,341,1,7,8,98,109,101,76,2,45,74,56,49,53,71,34,8,0
DISTRICT LEVEL,BC Public School,40,Teachers,All,2004/2005,392,286,106,345.6,58399,59457,10.9,42.2,44,339,1,8,17,92,102,111,70,5,46,61,54,54,59,58,47,8,0
DISTRICT LEVEL,BC Public School,40,Teachers,All,2005/2006,427,294,133,369.5,58346,59449,10.8,42.3,52,364,1,10,11,116,99,134,67,2,54,64,64,52,65,59,52,14,1
DISTRICT LEVEL,BC Public School,40,Teachers,All,2006/2007,433,307,126,377.7,61647,61984,10.8,42.5,46,379,0,8,15,108,106,140,64,2,56,61,73,51,61,60,49,17,3
DISTRICT LEVEL,BC Public School,40,Teachers,All,2007/2008,435,291,144,372.5,63244,63608,10.6,42.4,40,388,0,7,18,107,114,134,62,3,52,66,74,53,67,51,49,18,2
DISTRICT LEVEL,BC Public School,40,Teachers,All,2008/2009,435,292,143,372.6,65053,65414,10.4,42.4,36,394,0,5,15,104,125,137,54,5,47,65,79,58,61,51,47,18,4
DISTRICT LEVEL,BC Public School,40,Teachers,All,2009/2010,416,289,127,362.8,69238,69701,10.8,43.2,38,371,0,7,6,84,130,145,51,3,21,67,77,67,58,59,41,19,4
DISTRICT LEVEL,BC Public School,40,Teachers,All,2010/2011,431,293,138,372.1,70913,71301,11.2,43.5,37,388,1,5,16,81,126,148,60,1,28,71,73,71,47,64,44,25,7
DISTRICT LEVEL,BC Public School,40,Teachers,All,2011/2012,459,298,161,388.6,71049,71438,11.1,43.7,47,404,2,6,14,90,127,162,66,3,32,75,61,89,55,62,48,27,7
DISTRICT LEVEL,BC Public School,40,Teachers,All,2012/2013,445,298,147,384.1,71420,71803,11.2,44,38,396,4,7,17,88,122,153,65,3,31,57,79,80,46,68,46,28,7
DISTRICT LEVEL,BC Public School,40,Teachers,All,2013/2014,411,284,127,356.9,72889,73289,12,44.8,39,365,2,5,6,64,120,154,67,0,23,48,67,80,54,60,45,26,8
DISTRICT LEVEL,BC Public School,40,Teachers,All,2014/2015,407,284,123,357.3,74104,74198,,45.3,,,,,,,,,,1,15,41,68,83,55,59,50,25,10
DISTRICT LEVEL,BC Public School,40,Teachers,All,2015/2016,444,298,146,384.6,74047,74359,,45.1,,,,,,,,,,3,22,47,70,83,64,55,63,25,12
DISTRICT LEVEL,BC Public School,40,Teachers,All,2016/2017,432,302,130,380.8,75537,75909,,45.6,,,,,,,,,,,26,40,63,77,76,52,57,27,14
DISTRICT LEVEL,BC Public School,40,Administrators,Female,1991/1992,5,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,40,Administrators,Female,1992/1993,5,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
